key,value
"(46, 3)",0.0002161194377715454
"(47, 1)",0.00028580400315638316
"(47, 2)",0.0002508040031563832
"(47, 3)",0.00021580400315638316
"(48, 1)",0.0002854777372668851
"(48, 2)",0.0002504777372668851
"(48, 3)",0.0002154777372668851
"(49, 1)",0.00028514086370939456
"(49, 2)",0.0002501408637093946
"(49, 3)",0.00021514086370939454
"(50, 1)",0.00028479361336022056
"(50, 2)",0.0002497936133602206
"(50, 3)",0.0002147936133602206
"(51, 1)",0.00028443622420740703
"(51, 2)",0.00024943622420740705
"(51, 3)",0.000214436224207407
"(52, 1)",0.0002840689411876272
"(52, 2)",0.0002490689411876272
"(52, 3)",0.00021406894118762717
"(53, 1)",0.0002836920160183166
"(53, 2)",0.0002486920160183166
"(53, 3)",0.00021369201601831664
"(54, 1)",0.0002833057070251586
"(54, 2)",0.0002483057070251586
"(54, 3)",0.00021330570702515859
"(55, 1)",0.0002829102789650404
"(55, 2)",0.0002479102789650404
"(55, 3)",0.0002129102789650404
"(56, 1)",0.0002825060028446024
"(56, 2)",0.0002475060028446024
"(56, 3)",0.0002125060028446024
"(57, 1)",0.0002820931557345035
"(57, 2)",0.0002470931557345035
"(57, 3)",0.00021209315573450348
"(58, 1)",0.00028167202057953076
"(58, 2)",0.0002466720205795308
"(58, 3)",0.00021167202057953074
"(59, 1)",0.0002812428860046832
"(59, 2)",0.0002462428860046832
"(59, 3)",0.00021124288600468324
"(60, 1)",0.0002808060461173628
"(60, 2)",0.0002458060461173628
"(60, 3)",0.00021080604611736282
"(61, 1)",0.0002803618003058076
"(61, 2)",0.0002453618003058076
"(61, 3)",0.00021036180030580757
"(62, 1)",0.0002799104530339062
"(62, 2)",0.0002449104530339062
"(62, 3)",0.00020991045303390623
"(63, 1)",0.0002794523136325336
"(63, 2)",0.0002444523136325336
"(63, 3)",0.00020945231363253363
"(64, 1)",0.00027898769608755084
"(64, 2)",0.0002439876960875509
"(64, 3)",0.00020898769608755088
"(65, 1)",0.0002785169188246151
"(65, 2)",0.00024351691882461515
"(65, 3)",0.00020851691882461514
"(66, 1)",0.0002780403044909466
"(66, 2)",0.00024304030449094662
"(66, 3)",0.0002080403044909466
"(67, 1)",0.00027755817973420215
"(67, 2)",0.00024255817973420216
"(67, 3)",0.00020755817973420215
"(68, 1)",0.0002770708749786074
"(68, 2)",0.00024207087497860738
"(68, 3)",0.00020707087497860737
"(69, 1)",0.00027657872419850036
"(69, 2)",0.00024157872419850037
"(69, 3)",0.00020657872419850036
"(70, 1)",0.0002760820646894423
"(70, 2)",0.0002410820646894423
"(70, 3)",0.0002060820646894423
"(71, 1)",0.000275581236837052
"(71, 2)",0.000240581236837052
"(71, 3)",0.000205581236837052
"(72, 1)",0.0002750765838837226
"(72, 2)",0.00024007658388372258
"(72, 3)",0.00020507658388372257
"(73, 1)",0.0002745684516933803
"(73, 2)",0.0002395684516933803
"(73, 3)",0.0002045684516933803
"(74, 1)",0.0002740571885144466
