metric,mode,method,count,mean,std,min,median,max
fuel_kg,all_runs,Full,810,0.06141289576040792,0.01076315012726286,0.047093519399655726,0.05966698006061274,0.08808377230154511
fuel_kg,success_only,RF,810,0.11050424282309801,0.001588749667927758,0.1081474999999996,0.11047300377940522,0.11654109063888539
fuel_kg,success_only,HCS-i,414,0.09800087084063307,0.0022193628614372842,0.0914049999999998,0.09796624999999973,0.10452749999999965
fuel_kg,success_only,OEAC-i,723,0.10154250952221734,0.0009450244338465503,0.09931482487085741,0.10167425845517626,0.10347393834402616
fuel_kg,success_only,KINO,810,0.10845380476361971,0.0011623432815122889,0.10462036580255907,0.1085999999999996,0.11132773531625223
fuel_kg,success_only,Full,810,0.06141289576040792,0.01076315012726286,0.047093519399655726,0.05966698006061274,0.08808377230154511
fuel_g,all_runs,RF,810,110.50424282309804,1.588749667927757,108.14749999999961,110.47300377940522,116.5410906388854
fuel_g,all_runs,HCS-i,414,98.00087084063308,2.2193628614372845,91.4049999999998,97.96624999999972,104.52749999999965
fuel_g,all_runs,OEAC-i,723,101.54250952221734,0.9450244338465499,99.31482487085741,101.67425845517626,103.47393834402615
fuel_g,all_runs,KINO,810,108.45380476361971,1.162343281512289,104.62036580255906,108.5999999999996,111.32773531625223
fuel_g,all_runs,Full,810,61.41289576040791,10.763150127262861,47.093519399655726,59.666980060612744,88.08377230154511
fuel_g,success_only,RF,810,110.50424282309804,1.588749667927757,108.14749999999961,110.47300377940522,116.5410906388854
fuel_g,success_only,HCS-i,414,98.00087084063308,2.2193628614372845,91.4049999999998,97.96624999999972,104.52749999999965
fuel_g,success_only,OEAC-i,723,101.54250952221734,0.9450244338465499,99.31482487085741,101.67425845517626,103.47393834402615
fuel_g,success_only,KINO,810,108.45380476361971,1.162343281512289,104.62036580255906,108.5999999999996,111.32773531625223
fuel_g,success_only,Full,810,61.41289576040791,10.763150127262861,47.093519399655726,59.666980060612744,88.08377230154511
equivalent_energy_kwh,all_runs,RF,810,1.3432665432985906,0.037714689873999604,1.2917618055555509,1.3330553914946548,1.4351899143864224
equivalent_energy_kwh,all_runs,HCS-i,414,1.1705781395254715,0.026512346062990407,1.091816536026954,1.1701524305555524,1.2485229166666625
equivalent_energy_kwh,all_runs,OEAC-i,723,1.238737365999673,0.01052259322536536,1.2151892859561095,1.239672117934459,1.262155313826418
equivalent_energy_kwh,all_runs,KINO,810,1.2990316200992917,0.014030315357190811,1.2586374813638612,1.297166666666662,1.3393448702679618
equivalent_energy_kwh,all_runs,Full,810,0.8623964797890117,0.11822793997992466,0.6832364483833391,0.842836223031839,1.133898719270471
equivalent_energy_kwh,success_only,RF,810,1.3432665432985906,0.037714689873999604,1.2917618055555509,1.3330553914946548,1.4351899143864224
equivalent_energy_kwh,success_only,HCS-i,414,1.1705781395254715,0.026512346062990407,1.091816536026954,1.1701524305555524,1.2485229166666625
equivalent_energy_kwh,success_only,OEAC-i,723,1.238737365999673,0.01052259322536536,1.2151892859561095,1.239672117934459,1.262155313826418
equivalent_energy_kwh,success_only,KINO,810,1.2990316200992917,0.014030315357190811,1.2586374813638612,1.297166666666662,1.3393448702679618
equivalent_energy_kwh,success_only,Full,810,0.8623964797890117,0.11822793997992466,0.6832364483833391,0.842836223031839,1.133898719270471
equivalent_energy_kwh_per_km,all_runs,RF,810,0.48341970123922134,0.03683239146467718,0.43262005614975646,0.47106283004952126,0.5636252765122367
equivalent_energy_kwh_per_km,all_runs,HCS-i,414,0.5510707928773295,0.014522918358154507,0.5091127495845502,0.5489809267726025,0.5890819650186198
equivalent_energy_kwh_per_km,all_runs,OEAC-i,723,0.5685082727436253,0.006698827221457519,0.5536452411601942,0.5707186372256651,0.5813554162004297
equivalent_energy_kwh_per_km,all_runs,KINO,810,0.43851712920371066,0.008031831533080737,0.4204688410324911,0.44009285991661634,0.4598365603413414
equivalent_energy_kwh_per_km,all_runs,Full,810,0.29069697498854236,0.03664714357240368,0.23598589771030137,0.28278341885643504,0.3731461866464576
equivalent_energy_kwh_per_km,success_only,RF,810,0.48341970123922134,0.03683239146467718,0.43262005614975646,0.47106283004952126,0.5636252765122367
equivalent_energy_kwh_per_km,success_only,HCS-i,414,0.5510707928773295,0.014522918358154507,0.5091127495845502,0.5489809267726025,0.5890819650186198
