

===== RUN WITH C:\Users\mhasa42\AppData\Local\anaconda3\envs\raiselab\python.exe =====
Realistic SUMO replay step 170/240: k=170   t=170.0s   ego lane=3   v=12.1 m/s   next event: none
Realistic SUMO replay step 171/240: k=171   t=171.0s   ego lane=3   v=12.1 m/s   next event: none
Realistic SUMO replay step 172/240: k=172   t=172.0s   ego lane=3   v=12.2 m/s   next event: none
Realistic SUMO replay step 173/240: k=173   t=173.0s   ego lane=3   v=12.2 m/s   next event: none
Realistic SUMO replay step 174/240: k=174   t=174.0s   ego lane=3   v=12.2 m/s   next event: none
Realistic SUMO replay step 175/240: k=175   t=175.0s   ego lane=3   v=12.3 m/s   next event: none
Realistic SUMO replay step 176/240: k=176   t=176.0s   ego lane=3   v=12.3 m/s   next event: none
Realistic SUMO replay step 177/240: k=177   t=177.0s   ego lane=3   v=12.3 m/s   next event: none
Realistic SUMO replay step 178/240: k=178   t=178.0s   ego lane=3   v=12.3 m/s   next event: none
Realistic SUMO replay step 179/240: k=179   t=179.0s   ego lane=3   v=12.4 m/s   next event: none
Realistic SUMO replay step 180/240: k=180   t=180.0s   ego lane=3   v=12.4 m/s   next event: none
Realistic SUMO replay step 181/240: k=181   t=181.0s   ego lane=3   v=12.4 m/s   next event: none
Realistic SUMO replay step 182/240: k=182   t=182.0s   ego lane=3   v=12.5 m/s   next event: none
Realistic SUMO replay step 183/240: k=183   t=183.0s   ego lane=3   v=12.5 m/s   next event: none
Realistic SUMO replay step 184/240: k=184   t=184.0s   ego lane=3   v=12.5 m/s   next event: none
Realistic SUMO replay step 185/240: k=185   t=185.0s   ego lane=3   v=12.5 m/s   next event: none
Realistic SUMO replay step 186/240: k=186   t=186.0s   ego lane=3   v=12.6 m/s   next event: none
Realistic SUMO replay step 187/240: k=187   t=187.0s   ego lane=3   v=12.6 m/s   next event: none
Realistic SUMO replay step 188/240: k=188   t=188.0s   ego lane=3   v=12.6 m/s   next event: none
Realistic SUMO replay step 189/240: k=189   t=189.0s   ego lane=3   v=12.6 m/s   next event: none
Realistic SUMO replay step 190/240: k=190   t=190.0s   ego lane=3   v=12.7 m/s   next event: none
Realistic SUMO replay step 191/240: k=191   t=191.0s   ego lane=3   v=12.7 m/s   next event: none
Realistic SUMO replay step 192/240: k=192   t=192.0s   ego lane=3   v=12.7 m/s   next event: none
Realistic SUMO replay step 193/240: k=193   t=193.0s   ego lane=3   v=12.7 m/s   next event: none
Realistic SUMO replay step 194/240: k=194   t=194.0s   ego lane=3   v=12.8 m/s   next event: none
Realistic SUMO replay step 195/240: k=195   t=195.0s   ego lane=3   v=12.8 m/s   next event: none
Realistic SUMO replay step 196/240: k=196   t=196.0s   ego lane=3   v=12.8 m/s   next event: none
Realistic SUMO replay step 197/240: k=197   t=197.0s   ego lane=3   v=12.8 m/s   next event: none
Realistic SUMO replay step 198/240: k=198   t=198.0s   ego lane=3   v=12.9 m/s   next event: none
Realistic SUMO replay step 199/240: k=199   t=199.0s   ego lane=3   v=12.9 m/s   next event: none
Realistic SUMO replay step 200/240: k=200   t=200.0s   ego lane=3   v=12.9 m/s   next event: none
Realistic SUMO replay step 201/240: k=201   t=201.0s   ego lane=3   v=12.9 m/s   next event: none
Realistic SUMO replay step 202/240: k=202   t=202.0s   ego lane=3   v=12.9 m/s   next event: none
